2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,_key
Pay Álvarez (ESP),Adrian Otero (ESP),Raphael Brunis (FRA),Marcos Chami (ARG),David Lougedo (ESP),Orlando Acosta (ESP),Milton Martínez (ARG),Milton Martínez (ARG),Roger Silva (BRA),Milton Martínez (ARG),Cristian Estrada (COL),Jorge Simoes (POR),Danny Leon (ESP),Kelvin Hoefler (BRA),Aurelien Giraud (FRA),Danny Leon (ESP),Aurelien Giraud (FRA),Gustavo Ribeiro (POR),Ivan Monteiro (BRA),SkateMasc
,,,,,,,,,,,,Eugenia Ginepro (ARG),Pamela Rosa (BRA),Leticia Bufoni (BRA),Julia Brueckler (AUT),Candy Jacobs (HOL),Candy Jacobs (HOL),Keet Oldenbeuving (HOL),SkateFem
,,,,,,,,,,,,,,,Danny Leon (ESP),Aurelien Giraud (FRA),Jake Ilardi (USA),Danny Leon (ESP),MiniRamp
,,,,,,Gabruel Mastragostino (ARG),Sergio Layos (ESP),Daniel Peñafiel (ESP),Sergio Layos (ESP),Daniel Peñafiel (ESP),Daniel Peñafiel (ESP),Daniel Dhers (VEN),Jonathan Camacho (COL),Daniel Dhers (VEN),Konstantin Andreev (RUS),Jonathan Camacho (COL),Daniel Dhers (VEN),Sergio Layos (ESP),BMXParkM
,,,,,,,,,,,,,,,Katty Diaz (VEN),Camila Harambour (CHI),Teresa Fernández (ESP),Lara Lessmann (GER),BMXParkF
,,,,,,,,,,,,,,,,Broc Raiford (USA),Courage Adams (ESP),Courage Adams (ESP),BMXStreet
,,,,,,Viki Gómez (ESP),Viki Gómez (ESP),,Matthias Dandois (FRA),Matthias Dandois (FRA),Matthias Dandois (FRA),Matthias Dandois (FRA),Viki Gómez (ESP),Matthias Dandois (FRA),Alex Jumelin (FRA),Viki Gómez (ESP),Viki Gómez (ESP),Alberto Moya (ESP),BMXFlatland
,,,,,,,,,Paulo Domingues (POR),Aaron Caballero (ESP),José Borges (POR),José Borges (POR),José Borges (POR),Aaron Caballero (ESP),José Borges (POR),Edgar Carballo (ESP),Marco Veiga (ESP),Edgar Carballo (ESP),MTBDowntownM
,,,,,,,,,Rosi Martínez (ESP),Eva Castro (ESP),Rosi Martínez (ESP),Rosi Martínez (ESP),Rosi Martínez (ESP),Rosi Martínez (ESP),Rosi Martínez (ESP),Eva Castro (ESP),Eva Castro (ESP),Eva Castro (ESP),MTBDowntownF
,,,,,,,,,,Andreu Llacondeguy (ESP),Xavier Pasamonte (ESP),Nicholi Rogatkin (USA),Nicholi Rogatkin (USA),Nicholi Rogatkin (USA),Paul Couderc (FRA),Nicholi Rogatkin (USA),Lukas Huppert (SUI),Tom Isted (UK),FMBDirtJump
,,,,,,Gaiolin Roots (POR),Iron Skulls (ESP),Lunatiks (ESP),Fusion Rockers (ESP),Barna Squad (ESP),Fusion Rockers (ESP),Fusion Rockers (ESP),Fusion Rockers (ESP),Momentum Crew (POR),Malaganzters (ESP),Fusion Rockers (ESP),Zoo Evolution Kings (POR),XVII Generation (ESP),BreakDance
,,,,,,,,,,,,,,,,,Basket Gijón (ESP),Titans (ESP),Basket3x3
